_id,_rev,Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row
c0a956262e70c868f7a06ffa2de4b879,1-dc103ec2f937f10d09c0aca2669f554a,2018-1-15,Paraíso,-23.57677,-46.63933,71712,37,56,27,27,24,9,38,32,NORMAL,15
d60a9343ab2419edb79afad604281b13,1-86c5cb045bfc1997e90616d49e02a2ea,2018-1-21,Paraíso,-23.57677,-46.63933,73022,67,27,56,6,39,40,13,10,REABASTECER,21
ce8629a3db03c405e9a58e63a001d42c,1-5ff5560fee0ae6e98644633169a2dfc6,2018-1-23,Paraíso,-23.57677,-46.63933,72116,46,14,44,41,33,30,8,43,NORMAL,23
27e1cb9133c9edab1758e0123a9497f3,1-898ee915d13380141ba023325995de28,2018-1-26,Paraíso,-23.57677,-46.63933,70869,18,65,27,26,18,28,41,31,NORMAL,26
27e1cb9133c9edab1758e0123ab11864,1-898ee915d13380141ba023325995de28,2018-1-26,Paraíso,-23.57677,-46.63933,70869,18,65,27,26,18,28,41,31,NORMAL,26
2848b802196931d6620f97507d0f37e1,1-ceeee1426c420216a5854bca604d33b7,2018-1-27,Paraíso,-23.57677,-46.63933,70455,8,62,17,25,15,23,37,29,REABASTECER,27
d221a2c42eafe073f5689dddebe50c54,1-c9498ea3524c92bba0f4df4db8d6b1a3,2018-2-5,Paraíso,-23.57677,-46.63933,73697,17,9,27,41,25,43,4,43,REABASTECER,35
81ffb67066478f29dd5e44ded4445041,1-7e350b5136bcc8f2d64b5f44da24b93a,2018-2-13,Paraíso,-23.57677,-46.63933,73301,18,16,33,24,38,32,4,13,REABASTECER,43
e8d11ba5f5f5d0a6835689c4618cc930,1-459e9988b917448742a6c39d48066d55,2018-2-17,Paraíso,-23.57677,-46.63933,73154,66,56,6,13,23,17,32,43,REABASTECER,47
d60a9343ab2419edb79afad60429cfc7,1-459e9988b917448742a6c39d48066d55,2018-2-17,Paraíso,-23.57677,-46.63933,73154,66,56,6,13,23,17,32,43,REABASTECER,47
f40ff6236362c18a8fe5cdb5fc28aa77,1-96e027c5e9e90ffe4fa09b7db05d401e,2018-2-24,Paraíso,-23.57677,-46.63933,70512,79,17,18,38,38,37,5,18,NORMAL,54
d60a9343ab2419edb79afad604471b4e,1-8ca3c23a9d6c7735981007bce9d4de10,2018-2-29,Paraíso,-23.57677,-46.63933,70963,33,48,50,17,20,21,24,39,NORMAL,59
7fae30dd2c6b28a678c411aeacda5816,1-929caf7d2fb63a04b6284827752cc8d3,2018-2-30,Paraíso,-23.57677,-46.63933,72345,24,46,40,16,18,21,19,35,NORMAL,60
7fae30dd2c6b28a678c411aeacf63e04,1-929caf7d2fb63a04b6284827752cc8d3,2018-2-30,Paraíso,-23.57677,-46.63933,72345,24,46,40,16,18,21,19,35,NORMAL,60
1c7124b05bd89c58cb7c763c8cbfcc26,1-a4aa37e7ccf66c36c5cc1ede30059d78,2018-3-5,Paraíso,-23.57677,-46.63933,70200,59,12,65,9,38,7,43,15,NORMAL,65
f40ff6236362c18a8fe5cdb5fc0e478a,1-a9fd9aad1289ae53ff0aa539d1b5ee03,2018-3-10,Paraíso,-23.57677,-46.63933,71412,9,52,31,39,16,28,18,36,REABASTECER,70
74a28781ccb7981450cb95c2a69cda4a,1-ceae8e367f42b8e4288fda1d84d6ca2f,2018-3-16,Paraíso,-23.57677,-46.63933,71156,36,13,55,25,32,14,37,6,REABASTECER,76
82f869036f373e203d597d25751311e3,1-61f9fc36fac621866a8aa48d7900363f,2018-3-30,Paraíso,-23.57677,-46.63933,70458,73,54,36,22,11,6,26,40,REABASTECER,90
27e1cb9133c9edab1758e0123a9935fc,1-53523fb5df63ca7596141ca456577bbd,2018-4-1,Paraíso,-23.57677,-46.63933,73748,64,44,28,19,5,43,20,35,NORMAL,91
7471f6094f1d927aadfc45df7c144103,1-6585b45b23b5e5ef744721c71428a566,2018-4-4,Paraíso,-23.57677,-46.63933,72464,33,22,7,12,33,37,8,18,REABASTECER,94
7471f6094f1d927aadfc45df7c302af9,1-5b598d3911c24b48f3ca6a4bca95774d,2018-4-9,Paraíso,-23.57677,-46.63933,71511,77,62,37,43,16,22,32,41,NORMAL,99
f40ff6236362c18a8fe5cdb5fc104a43,1-d4e3d7c0c7230088251b5b4dae621907,2018-4-13,Paraíso,-23.57677,-46.63933,72245,37,41,10,29,43,10,18,19,NORMAL,103
d60a9343ab2419edb79afad6042dfa51,1-f7ccf3713c020fc4b9e62d03286b29c0,2018-4-14,Paraíso,-23.57677,-46.63933,73146,28,36,1,28,37,9,16,15,REABASTECER,104
7471f6094f1d927aadfc45df7c155dc6,1-b3273cf2ae10987662aed4205aed1291,2018-4-16,Paraíso,-23.57677,-46.63933,71355,6,24,57,22,31,6,4,8,NORMAL,106
2848b802196931d6620f97507d150b1b,1-39681ab979b974107f84da7281101f3b,2018-4-19,Paraíso,-23.57677,-46.63933,71267,64,65,36,13,21,38,36,40,NORMAL,109
f18fd930721232facabf76d2c159feef,1-765c3cec2e6837e427ef214b2e71526c,2018-4-20,Paraíso,-23.57677,-46.63933,72209,51,61,26,9,15,36,32,38,NORMAL,110
13ff47076576fbe15822c6c2b6720faf,1-028630818621a92ade27eb59cbf4ca23,2018-4-27,Paraíso,-23.57677,-46.63933,72578,66,23,37,31,29,18,7,6,NORMAL,117
